topic_name,topic_description
Enterprise life cycle,"iterative process of changing the enterprise over time by incorporating new business processes, new technology, and new capabilities, as well as maintenance, disposition and disposal of existing elements of the enterprise"
Charged current,The field of study related to Charged current.
Infrared astronomy,observational astronomy of emissions over the wavelength band 0.75 to 300 micrometers
Intraperitoneal chemotherapy,The field of study related to Intraperitoneal chemotherapy.
Lotion,low-viscosity topical preparation intended for application to unbroken skin
Military deployment,movement of armed forces and their logistical support infrastructure around the world
Programming style,set of rules or guidelines used when writing the source code for a computer program
High-content screening,The field of study related to High-content screening.
Polar surface area,chemical property measurement
Superstition,belief in irrational supernatural causality
Metric tensor,"symmetric rank (0, 2) tensor field on a smooth manifold"
Voltage multiplier,electrical circuit that converts AC electrical power from a lower voltage to a higher DC voltage
Biculturalism,"coexistence, to varying degrees, of two originally distinct cultures"
Admittance parameters,properties of an electrical network in terms of a matrix of ratios of currents to voltages
Glocalization,adaptation of a product or service specifically to each locality or culture in which it is sold
Coupling loss,energy loss between circuit components
Therapeutic endoscopy,type d'endoscopy
Convolvulaceae,family of flowering plants
Fountain,piece of architecture which ejects water
Progressive familial intrahepatic cholestasis,"intrahepatic cholestasis characterized by early onset of chronic unremitting cholestasis of hepatocellular origin that progresses to hepatic fibrosis, cirrhosis, and end-stage liver disease before adulthood"
Just war theory,doctrine about when a war is ethically just
Spontaneous magnetization,sudden appearance of magnetic order in cold substances
Phase plane,visual representation used in non-linear control system analysis
Seismic zone,area of seismicity potentially sharing a common cause
Nilpotent group,The field of study related to Nilpotent group.
Retirement planning,"the planned allocation of savings or revenue for retirement, in order to achieve financial independence at a later age"
Gender and development,The field of study related to Gender and development.
Acid catalysis,The field of study related to Acid catalysis.
Software performance testing,procedure to determine how a system performs in terms of responsiveness and stability under a particular workload
Eco-efficiency,one of the main tools to promote a transformation from unsustainable development to one of sustainable development.
Self-interest,The field of study related to Self-interest.
Location,point or an area on the Earth's surface or elsewhere
Novel virus,new kind of virus
Testate amoebae,polyphyletic group of ameboid protists characterized by the presence of a test
Bronchopleural fistula,Type of fistula
Capsomere,Any of the protein subunits that comprise the closed shell or coat (capsid) of certain viruses.
Prunus armeniaca,"species of plant, apricot"
Noise reduction coefficient,The field of study related to Noise reduction coefficient.
Sinus lift,The field of study related to Sinus lift.
Stairstep interpolation,method for interpolating the pixels after enlarging an image
Coloboma,"eye disease characterized by missing pieces of tissue in structures that form the eye, such as the iris, retina, choroid or optic disc"
Kink instability,The field of study related to Kink instability.
Laser lithotripsy,type of surgical procedure used to remove kidney stones larger than two centimeters
Lightning arrester,"device in power/telecommunication systems that protects against lightning, such that when a lightning surge happens, the current is diverted through the arrester to earth"
